Name,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pHsulphates,alcohol,quality
Loibner Burgstall Riesling Smaragd 2015,0.17,0.34,1.8,0.045,96.0,170.0,0.99035,3.38,0.9,11.8,8
Ürziger Würzgarten Riesling Spätlese 2015,0.26,0.27,12.9,0.044,69.0,215.0,0.9967,3.17,0.43,10.0,6
Rivaner 2018,0.255,0.27,1.3,0.037,30.0,86.0,0.98834,3.05,0.59,12.9,7
Mineral Riesling Trocken 2018,0.585,0.07,7.1,0.044,34.0,145.0,0.9945,3.34,0.57,9.7,6
Capo Martino 2016,0.24,0.5,11.6,0.047,60.0,211.0,0.9966,3.18,0.57,9.3,5
Tonschiefer Riesling Trocken 2017,0.2,0.37,1.2,0.028,28.0,89.0,0.99132,3.14,0.61,11.8,6
Deidesheimer Herrgottsacker 2015,0.25,0.36,8.1,0.045,54.0,180.0,0.9958,3.08,0.42,9.2,5
Grüner Veltliner Kamptaler Terrassen 2019,0.37,0.3,1.1,0.029,24.0,88.0,0.98883,3.18,0.39,11.7,6
Ried Renner Grüner Veltliner 2015,0.6,0.0,1.3,0.042,24.0,79.0,0.9937,3.31,0.38,9.4,4
Steinriegl Riesling 2017,0.32,0.33,10.7,0.036,27.0,98.0,0.99521,3.34,0.52,10.2,6
Nova Serra Greco Di Tufo 2018,0.425,0.25,2.35,0.034,23.0,87.0,0.99082,3.05,0.41,11.4,6
Ölberg Riesling 2016,0.16,0.3,13.7,0.056,33.0,168.0,0.99825,2.9,0.44,8.7,7
Reserve Chardonnay 2017,0.25,0.36,1.3,0.035,40.0,78.0,0.9891,3.23,0.64,12.1,7
Diamond Collection Chardonnay (Gold Label) 2018,0.25,0.35,9.2,0.034,42.0,150.0,0.9947,3.21,0.36,11.5,6
Sauvignon Blanc 2019,0.22,0.31,13.9,0.04,57.0,135.0,0.99672,3.21,0.38,10.7,5
Wehlener Sonnenuhr Riesling Spätlese 2016,0.36,0.36,5.7,0.038,26.0,98.0,0.9914,2.93,0.59,12.5,7
Chablis 2017,0.23,0.68,11.0,0.047,37.0,133.0,0.9978,2.99,0.38,8.8,5
Sauvignon Blanc 2018,0.2,0.34,1.8,0.041,42.0,148.0,0.99335,3.35,0.66,11.1,6
Henry Greuzard Mâcon la Roche Vineuse 2018,0.32,0.3,9.9,0.041,63.0,192.0,0.99642,3.12,0.49,10.2,6
Gutswein Grauburgunder (Trocken) 2018,0.31,0.41,8.6,0.053,15.0,89.0,0.9976,3.29,0.64,9.9,6
Riesling Kabinett Trocken 2017,0.26,0.49,1.6,0.058,39.0,166.0,0.9965,3.65,0.52,9.4,4
Clos Sainte Hune Riesling Alsace 2012,0.17,0.24,9.6,0.119,56.0,178.0,0.99578,3.15,0.44,10.2,6
Sauvignon Blanc 2018,0.23,0.39,1.8,0.032,23.0,118.0,0.9912,3.32,0.5,11.8,6
Felseneck Riesling GG 2018,0.34,0.27,1.2,0.026,17.0,73.0,0.9921,3.08,0.39,10.8,5
Gemischter Satz 2017,0.21,0.34,1.5,0.035,45.0,123.0,0.98949,3.24,0.36,12.6,7
Wehlener Klosterberg Riesling Spätlese 2015,0.39,0.3,5.2,0.037,29.0,131.0,0.9943,3.38,0.44,11.0,6
Dão Reserva Branco 2018,0.125,0.29,5.85,0.042,24.0,99.0,0.992,3.23,0.32,12.0,7
Chardonnay 2013,0.23,0.35,9.2,0.044,53.0,186.0,0.997,3.09,0.56,9.5,7
Himmelspfad Silvaner GG Retzstadter Langenberg 2015,0.21,0.24,12.1,0.044,53.0,165.0,0.9969,3.25,0.39,9.5,5
Tascante Carricante Sicilia Buonora 2013,0.27,0.31,2.4,0.014,15.0,143.0,0.99094,3.03,0.65,12.0,4
Grillo 2018,0.37,0.3,6.6,0.346,79.0,200.0,0.9954,3.29,0.58,9.6,5
Grauburgunder Trocken 2018,0.19,0.42,1.5,0.044,6.0,114.0,0.9914,3.04,0.74,12.8,6
Wunderwerk Riesling 2016,0.28,0.34,3.6,0.04,29.0,121.0,0.99111,3.28,0.48,12.1,7
Viognier 2019,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6
Sauvignon Blanc 2018,0.34,0.37,6.2,0.031,42.0,133.0,0.99076,3.25,0.41,12.5,6
Roter Veltliner Scheiben 2017,0.19,0.48,1.1,0.026,23.0,58.0,0.99184,2.9,0.5,10.5,6
Sauvignon Blanc 2017,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,0.35,11.3,6
Florence Sauvignon Blanc - Chardonnay 2018,0.37,0.25,2.5,0.028,24.0,84.0,0.9909,3.14,0.36,11.7,6
Sauvignon Blanc 2019,0.42,0.29,4.1,0.03,31.0,100.0,0.9911,3.0,0.32,12.8,7
Mâcon-Villages 2015,0.27,0.3,16.7,0.039,49.0,172.0,0.99985,3.4,0.45,9.4,5
Vom Schiefer Riesling Feinherb 2017,0.16,0.41,1.7,0.048,60.0,173.0,0.9932,3.24,0.66,11.2,7
Condrieu 2018,0.29,0.27,1.6,0.062,17.0,140.0,0.99138,3.23,0.35,11.1,6
Altenberg Alte Reben 2015,0.32,0.24,1.3,0.06,42.5,204.0,0.99512,3.59,0.51,9.2,5
Westhofener Weisser Burgunder - Chardonnay Trocken 2018,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
Hermitage Blanc 2016,0.35,0.32,9.0,0.032,29.0,113.0,0.99188,3.13,0.65,12.9,7
Bernkasteler Badstube Riesling Kabinett 2011,0.45,0.4,1.5,0.067,17.0,100.0,0.9957,3.27,0.57,10.1,6
Harmonie de Gascogne Blanc 2019,0.25,0.33,1.2,0.035,35.0,158.0,0.99082,3.02,0.58,11.3,6
Wehlener Klosterberg Riesling Kabinett 2016,0.28,0.27,2.6,0.054,30.0,156.0,0.9914,3.53,0.42,12.4,5
Riesling Fructus 2018,0.21,0.32,2.2,0.037,28.0,141.0,0.993,3.2,0.57,10.0,7
Chablis 2018,0.26,0.28,1.7,0.043,24.0,98.0,0.98918,3.14,0.44,12.5,6
Wallufer Walkenberg Riesling Kabinett Trocken 2013,0.29,0.22,9.5,0.056,44.0,213.0,0.99715,3.08,0.61,9.3,6
Riesling Scharzhof 2018,0.17,0.27,1.5,0.056,45.0,135.0,0.9924,3.2,0.43,10.2,6
Geheimrat J Riesling Spätlese Trocken 2012,0.38,0.36,9.2,0.061,42.0,214.0,0.9976,3.31,0.56,9.4,5
Chardonnay (Barrel Fermented) 2018,0.3,0.5,12.1,0.045,38.0,127.0,0.9974,3.04,0.53,8.9,6
Côtes de Provence Blanc 2018,0.26,0.43,6.0,0.022,22.0,125.0,0.9928,3.13,0.55,11.5,6
Elbling Trocken 2018,0.33,0.32,1.4,0.043,28.0,93.0,0.9897,3.31,0.5,12.3,6
Viognier 2015,0.21,0.35,14.5,0.048,35.0,178.0,0.9982,3.05,0.47,8.9,6
Hermitage Le Chevalier de Sterimberg 2017,0.22,0.45,8.0,0.053,52.0,196.0,0.9959,3.23,0.48,9.1,6
Fantini Chardonnay 2018,0.18,0.48,4.0,0.186,64.0,150.0,0.9945,3.06,0.4,9.3,5
Würzburger Stein Silvaner Trocken 2018,0.24,0.36,2.0,0.029,21.0,63.0,0.99076,3.13,0.63,12.5,6
Splattered Toad Sauvignon Blanc 2018,0.33,0.23,5.0,0.053,29.0,106.0,0.99458,3.13,0.52,9.0,5
Castello della Sala San Giovanni della Sala Classico Superiore 2019,0.39,0.46,11.7,0.084,55.0,170.0,0.99773,2.91,0.51,9.0,5
Blanc 2019,0.445,0.44,14.5,0.045,68.0,212.0,0.9986,3.48,0.36,10.0,6
Otto Muri 2016,0.36,0.28,3.2,0.037,29.0,119.0,0.9908,3.25,0.65,12.4,8
Gaia & Rey Langhe 2017,0.41,0.66,10.8,0.051,77.0,194.0,0.9976,3.05,0.46,8.7,5
Chardonnay Castel del Monte Pietrabianca 2018,0.25,0.36,8.6,0.037,63.0,206.0,0.99553,3.18,0.5,9.6,5
Kritt Pinot Blanc 2017,0.44,0.47,5.45,0.014,44.0,137.0,0.98984,3.13,0.32,13.0,8
Arneis Langhe Blangé 2019,0.31,0.47,3.0,0.053,46.0,144.0,0.9931,3.29,0.76,10.0,5
Rosengarten Rüdesheim Monopole GG 2016,0.125,0.36,1.4,0.044,22.0,68.0,0.99014,3.15,0.5,11.7,7
Bianco di Custoza Superiore Cà del Magro 2018,0.14,0.15,6.1,0.042,27.0,123.0,0.99362,3.06,0.6,9.9,6
Blanco Fermentado en Barrica 2019,0.23,0.36,7.1,0.028,31.0,104.0,0.9922,3.35,0.47,12.1,8
Chardonnay 2019,0.34,0.27,1.2,0.04,25.0,106.0,0.9932,3.01,0.55,10.4,5
Sharis 2018,0.23,0.34,1.3,0.025,23.0,111.0,0.98961,3.36,0.37,12.7,6
Jacobus Riesling Trocken 2018,0.44,0.18,11.8,0.051,26.0,126.0,0.9975,3.23,0.48,9.1,5
Taylors Pass Vineyard Chardonnay 2016,0.33,0.25,1.6,0.03,25.0,126.0,0.9901,3.22,0.34,12.1,7
Sauvignon Blanc 2019,0.28,0.49,1.0,0.04,32.0,148.0,0.9936,3.13,0.41,10.0,6
Drouhin - Vaudon Chablis 2018,0.28,0.41,1.3,0.044,11.0,126.0,0.99293,3.28,0.45,10.3,5
White Label Nik Weis Wiltinger Alte Reben 2018,0.19,0.43,10.9,0.045,53.0,154.0,0.99752,3.52,0.77,10.4,6
Langhe Arneis 2018,0.24,0.49,9.3,0.038,52.0,163.0,0.9952,3.02,0.33,10.6,6
Gelber Muskateller Steirische Klassik 2017,0.23,0.43,3.2,0.035,14.0,101.0,0.9928,3.15,0.36,11.5,5
Vieilles Vignes Entre-deux-Mers 2019,0.26,0.35,7.7,0.056,45.0,191.0,0.99527,3.16,0.5,9.5,5
Sauvignon Blanc (1685 Series Grande Cuvée) 2019,0.36,0.02,1.6,0.031,24.0,104.0,0.9896,3.44,0.35,12.2,6
Zieregg Sauvignon Blanc 2017,0.32,0.47,5.1,0.044,19.0,65.0,0.991,3.03,0.41,12.6,4
Chenin Blanc Secateurs 2019,0.18,0.49,1.3,0.033,12.0,72.0,0.99072,3.05,0.53,11.3,7
Pinot Grigio (Tralcetto) 2019,0.33,0.78,9.9,0.042,21.0,251.0,0.99435,3.01,0.55,11.0,6
Grand Marrenon Blanc 2018,0.44,0.24,12.1,0.056,68.0,210.0,0.99718,3.05,0.5,9.5,5
Private Bin Chardonnay 2018,0.34,0.54,16.3,0.047,44.0,181.0,0.9987,3.04,0.56,8.8,5
Filius Chardonnay 2017,0.22,0.27,1.6,0.039,36.0,116.0,0.99178,3.38,0.57,11.0,7
Pinot Grigio 2018,0.28,0.27,4.7,0.03,56.0,140.0,0.99042,3.16,0.42,12.5,8
Pinot Grigio 2018,0.375,0.38,1.7,0.036,17.0,98.0,0.99142,3.29,0.39,10.5,6
Verdejo 2019,0.26,0.34,10.9,0.038,25.0,84.0,0.99432,3.11,0.34,10.9,6
Zeltinger Sonnenuhr Riesling Spätlese 2018,0.2,0.32,2.8,0.05,17.0,126.0,0.9936,3.18,0.55,9.4,6
Wehlener Sonnenuhr Riesling Kabinett 2018,0.18,0.28,7.1,0.041,29.0,110.0,0.99652,3.2,0.42,9.2,6
Lugana San Benedetto 2019,0.15,0.34,1.0,0.033,27.0,73.0,0.98974,3.24,0.41,12.2,6
Wiener Grüner Veltliner 2017,0.27,0.27,2.4,0.048,30.0,149.0,0.9936,3.1,0.51,9.2,6
Riesling Heiligenstein 2018,0.18,0.36,1.3,0.036,40.0,117.0,0.9934,3.27,0.95,9.5,7
W Riesling 2016,0.3,0.42,14.3,0.045,45.0,213.0,0.9991,3.18,0.63,9.2,5
Meursault-Charmes Premier Cru 2016,0.33,0.21,1.0,0.053,39.0,148.0,0.9927,3.12,0.45,9.4,6
Sauvignon Blanc (Markgräflerland) 2018,0.28,0.36,1.8,0.041,38.0,90.0,0.99002,3.27,0.98,11.9,7
Magic Mountain Rüdesheimer Riesling 2016,0.26,0.24,10.8,0.042,47.0,130.0,0.996,3.08,0.4,10.1,6
Treaty Tree Reserve Sauvignon Blanc - Semillon 2017,0.32,0.45,4.9,0.028,25.0,191.0,0.9922,3.51,0.49,11.5,7
Riesling Sonnenberg GG 2011,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
Westhofener Weisser Burgunder - Chardonnay Trocken 2017,0.28,0.38,2.0,0.052,23.0,156.0,0.9912,3.13,0.52,11.1,5
Select Chardonnay 2017,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,8
Laurens Campher 2014,0.19,0.28,1.1,0.044,38.0,100.0,0.9904,3.22,0.69,11.2,6
Franciscus Grüner Veltliner 2016,0.15,0.29,6.2,0.046,39.0,151.0,0.99471,3.6,0.44,10.6,6
Aurelia Langhe Arneis 2018,0.15,0.38,1.7,0.037,20.0,84.0,0.99046,3.09,0.53,11.4,6
Dellchen Riesling GG 2016,0.36,0.62,7.1,0.033,48.0,185.0,0.99472,3.14,0.62,10.6,6
Pouilly-Fumé 2017,0.61,0.45,5.4,0.03,15.0,118.0,0.9954,3.14,0.34,9.6,5
Platin Riesling 2018,0.17,0.24,8.1,0.121,32.0,162.0,0.99508,3.17,0.38,10.4,8
Puiten Pinot Grigio 2017,0.11,0.42,1.1,0.042,51.0,132.0,0.99059,3.18,0.74,11.3,7
Straw 2018,0.165,0.24,1.1,0.051,25.0,105.0,0.9925,3.32,0.47,9.1,5
Blauschiefer Riesling Trocken 2018,0.39,0.54,1.4,0.157,34.0,132.0,0.99449,3.11,0.53,9.0,6
Villa Grand Cap Blanc 2018,0.335,0.14,1.3,0.036,69.0,168.0,0.99212,3.47,0.46,10.4666666666667,5
Alpi Retiche 2018,0.44,0.49,9.1,0.031,46.0,151.0,0.9926,3.16,0.27,12.7,8
Röttgen Riesling Kabinett 2018,0.15,0.29,1.3,0.029,10.0,64.0,0.9932,3.35,0.39,10.1,5
Chardonnay (Monovitigno) 2018,0.23,0.45,10.6,0.094,49.0,169.0,0.99699,3.05,0.54,8.8,5
Loibenberg Riesling 2017,0.32,0.23,1.5,0.033,39.0,121.0,0.9887,2.96,0.35,12.0,5
Viognier 2017,0.245,0.33,1.1,0.049,28.0,150.0,0.9927,3.13,0.42,9.3,5
Blanco 2019,0.42,0.32,6.5,0.027,20.0,167.0,0.99479,3.08,0.43,10.6,5
Weisser Schiefer s 2017,0.33,0.35,6.3,0.036,12.0,126.0,0.9924,3.16,0.39,12.0,7
Condrieu 2017,0.19,0.32,3.7,0.041,26.0,76.0,0.99173,2.9,0.57,10.5,7
Chardonnay Leithakalk 2017,0.18,0.22,4.2,0.042,25.0,111.0,0.994,3.35,0.39,9.4,5
Chardonnay Somontano 2019,0.28,0.35,2.3,0.053,36.0,114.0,0.9924,3.28,0.5,10.2,4
Sauvignon Blanc 2016,0.22,0.49,7.5,0.054,42.0,151.0,0.9948,3.27,0.52,10.1,6
Verdicchio dei Castelli di Jesi Classico 2018,0.55,0.3,8.1,0.026,14.0,71.0,0.993,2.94,0.36,11.8,5
Norheimer Kirschheck Riesling Spätlese 2017,0.19,0.42,1.6,0.047,9.0,101.0,0.994,3.06,0.65,11.1,4
Grüner Veltliner Weinviertel 2019,0.23,0.42,18.05,0.05,35.0,144.0,0.9999,3.22,0.42,8.8,5
Le Saline Vermentino di Gallura Superiore 2017,0.18,0.28,10.2,0.039,29.0,115.0,0.99469,3.11,0.45,10.9,7
Riesling Trocken 2017,0.26,0.26,18.35,0.084,33.0,139.0,1.0011,3.17,0.39,8.8,5
Sauvignon Blanc Reserva 2018,0.36,0.3,4.8,0.049,14.0,85.0,0.9932,3.28,0.39,10.6,5
The Y Series Viognier 2018,0.25,0.54,7.0,0.046,58.0,176.0,0.99454,3.19,0.7,10.4,5
Grauburgunder Vom Löss 2018,0.27,0.29,10.8,0.028,17.0,118.0,0.99356,3.18,0.37,11.2,6
Novas Gran Reserva Sauvignon Blanc 2017,0.29,0.29,3.3,0.037,32.0,140.0,0.9895,3.17,0.36,12.8,7
Spiegel 2016,0.26,0.27,1.9,0.051,52.0,195.0,0.9928,3.23,0.5,10.9,6
Saar Riesling 2017,0.32,0.47,15.6,0.063,27.0,173.0,0.99872,3.18,0.56,9.0,5
Alea Riesling 2018,0.22,0.49,1.5,0.051,18.0,87.0,0.9928,3.3,0.46,9.6,5
Casasole Orvieto Classico Amabile 2018,0.22,0.42,1.9,0.052,10.0,87.0,0.9922,3.3,0.49,11.8,6
Barbazul Blanco 2018,0.38,0.53,2.1,0.102,19.0,76.0,0.99001,2.93,0.57,12.9,5
Maximin Grünhäuser Abtsberg Riesling Kabinett 2018,0.35,0.26,2.7,0.045,19.0,129.0,0.98952,3.24,0.48,13.0,7
Riesling Trocken 2019,0.22,0.3,2.0,0.05,23.0,120.0,0.99204,3.24,0.47,10.4,6
Coume Gineste Côtes Catalanes 2011,0.42,0.2,1.4,0.06,15.0,168.0,0.9944,3.06,0.4,9.4,6
Bourgogne Blanc 2017,0.39,0.22,4.0,0.038,17.0,98.0,0.99018,3.25,0.53,13.0,7
Nosiola 2018,0.36,0.48,13.5,0.038,44.0,116.0,0.9982,3.04,0.48,9.2,5
Alandra Branco 2018,0.14,0.29,9.9,0.056,30.0,91.0,0.99512,3.19,0.33,9.9,6
Westhofen Riesling Trocken 2018,0.2,0.28,10.2,0.054,78.0,186.0,0.997,3.14,0.46,10.0,6
Weissburgunder Trocken 2018,0.235,0.29,1.2,0.047,33.0,127.0,0.991,3.34,0.5,11.0,7
Steillage Riesling Trocken 2018,0.21,0.28,2.7,0.033,38.0,94.0,0.99075,2.99,0.43,11.8,7
Santa Digna Reserva Chardonnay 2019,0.28,0.25,11.9,0.053,25.0,148.0,0.9976,3.1,0.62,9.2,5
Gewürztraminer 2016,0.26,0.46,7.8,0.047,48.0,186.0,0.9958,3.2,0.54,9.1,5
Tianna Bocchoris Blanc 2014,0.25,0.35,6.7,0.039,22.0,64.0,0.99362,2.93,0.49,10.7,5
Garnacha Blanca 2017,0.32,0.34,6.0,0.05,5.0,129.0,0.9953,3.19,0.4,9.1,5
Petit Bourgeois Sauvignon Blanc 2018,0.27,0.29,3.9,0.059,28.0,199.0,0.9961,3.54,0.59,10.3,5
Setzberg - Riesling Smaragd 2017,0.22,0.26,1.2,0.041,29.0,182.0,0.99104,3.04,0.35,11.2,5
Heideboden Pinot Blanc 2018,0.22,0.22,16.65,0.044,39.0,110.0,0.99855,3.24,0.48,9.0,6
Brolettino Lugana 2018,0.23,0.28,2.7,0.048,49.0,165.0,0.9952,3.26,0.72,9.5,6
Corton-Charlemagne Grand Cru 2017,0.32,0.62,10.6,0.036,56.0,153.0,0.9978,3.13,0.44,8.9,6
Esper Grüner Veltliner 2016,0.26,0.24,7.2,0.039,38.0,172.0,0.9958,3.49,0.64,9.7,6
Beaune 1er Cru Grèves Blanc 2011,0.33,0.2,1.8,0.031,49.0,159.0,0.9919,3.41,0.53,11.0,6
Chardonnay 2018,0.17,0.28,17.55,0.05,33.0,154.0,0.99971,2.94,0.43,9.0,7
Sommer Riesling Trocken 2019,0.21,0.34,7.1,0.037,33.0,150.0,0.9962,3.1,0.45,9.7,6
Viognier de Rosine 2018,0.2,0.61,16.2,0.043,14.0,103.0,0.9987,3.06,0.36,9.2,6
Chardonnay Sicilia 2017,0.19,0.49,15.55,0.058,50.0,134.0,0.9998,3.42,0.36,9.1,7
La Froscà Soave Classico 2016,0.23,0.22,17.45,0.054,42.0,151.0,0.99853,3.12,0.6,9.3,6
Quarzit Riesling Trocken 2018,0.28,0.28,3.0,0.04,19.0,98.0,0.99216,3.25,0.47,11.1,6
Hereford Chardonnay 2019,0.24,0.33,12.3,0.046,31.0,145.0,0.9983,3.36,0.4,9.5,5
Blanc 2016,0.22,0.2,16.0,0.044,41.0,113.0,0.99862,3.22,0.46,8.9,6
Clos de la Bergerie 2014,0.13,0.27,2.6,0.035,32.0,76.0,0.9914,3.21,0.76,11.3333333333333,6
Terravignata Verdicchio di Matelica 2018,0.29,0.16,7.9,0.044,48.0,197.0,0.99512,3.21,0.36,9.4,5
Vat 1 Sémillon 2012,0.355,0.35,2.0,0.046,31.0,95.0,0.98822,3.06,0.46,13.6,6
Santenay Premier Cru 'Gravières' Blanc 2014,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,8
Pinot Grigio 2019,0.24,0.4,1.4,0.045,31.0,106.0,0.9914,2.88,0.38,10.8,6
Douro Reserva Duas Quintas Branco 2018,0.33,0.24,9.8,0.041,29.0,109.0,0.9956,3.29,0.47,10.1,6
Sauvignon Blanc 2018,0.28,0.41,1.3,0.044,11.0,126.0,0.99293,3.28,0.45,10.3,5
Auxerrois 2018,0.28,0.34,3.6,0.04,29.0,121.0,0.99111,3.28,0.48,12.1,7
Adorato Appassionato Bianco 2018,0.22,0.35,6.5,0.029,26.0,87.0,0.99092,3.29,0.44,12.5,7
Cirò Bianco 2019,0.24,0.49,7.4,0.039,46.0,108.0,0.9934,3.03,0.33,11.9,7
Wehlener Sonnenuhr Riesling Auslese 2016,0.33,0.28,4.0,0.04,24.0,81.0,0.9903,3.26,0.64,12.6,7
Douro Guru Branco 2017,0.34,0.34,2.6,0.051,40.5,210.0,0.99314,3.15,0.61,10.0,5
Rioja Blanco 2018,0.445,0.26,1.4,0.027,23.0,109.0,0.99148,3.3,0.36,10.5,6
Faß 12 Ayler Kupp Unterstenberg Riesling 2018,0.37,0.32,1.6,0.04,32.0,166.0,0.992,3.0,0.55,11.3,7
Chardonnay 2018,0.49,1.0,19.6,0.03,28.0,135.0,0.9973,3.24,0.4,12.0,6
Sauvignon Blanc - Furmint 2017,0.27,0.16,9.0,0.053,32.0,111.0,0.99474,3.36,0.37,10.4,6
Gewürztraminer Somontano 2018,0.45,0.36,8.8,0.026,50.0,151.0,0.9927,3.07,0.25,12.7,8
Jesuitengarten Riesling GG 2018,0.29,0.34,7.8,0.036,49.0,128.0,0.99397,3.21,0.4,10.7,6
Canava Chrissou Tselepos Santorini Vieilles Vignes 2017,0.33,0.41,2.0,0.027,14.0,79.0,0.99063,3.27,0.63,12.4,6
ReinSchiefer Nierstein Riesling 2017,0.19,0.23,5.7,0.123,27.0,104.0,0.9954,3.04,0.54,9.4,6
Graacher Himmelreich Riesling Kabinett 2017,0.24,0.22,7.9,0.053,45.0,149.0,0.99545,3.23,0.52,9.3,5
Small Hill White 2018,0.14,0.26,1.5,0.049,56.0,189.0,0.9946,3.21,0.62,9.5,6
Weissburgunder 2019,0.13,0.39,1.4,0.034,19.0,102.0,0.99121,3.23,0.6,11.3,7
Terroir Series Torrontes 2019,0.22,0.72,6.8,0.042,33.0,168.0,0.9958,3.12,0.36,9.2,6
Reserve Chardonnay 2018,0.24,0.51,11.0,0.029,55.0,227.0,0.9965,3.03,0.61,9.5,5
Leone d'Almerita (Tenuta Regaleali) 2018,0.33,0.18,6.3,0.094,27.0,166.0,0.99474,2.9,0.49,9.5,5
The Guv'nor Blanco 2019,0.42,0.74,12.8,0.076,48.0,209.0,0.9978,3.12,0.58,9.0,6
Signature Sauvignon Blanc 2019,0.22,0.3,12.4,0.054,108.0,152.0,0.99728,3.1,0.47,9.5,6
Châteauneuf-du-Pape Blanc 2016,0.29,0.18,15.0,0.04,21.0,116.0,0.99736,3.14,0.5,9.2,5
Grüner Veltliner ZEISEN Weinviertel DAC 2018,0.12,0.3,3.1,0.018,15.0,37.0,0.99004,3.02,0.52,11.9,7
Cavalcade Blanc 2018,0.28,0.37,1.2,0.039,26.0,99.0,0.99198,3.01,0.62,10.8,5
Vermentino (Etichetta Nera/Black Label) 2019,0.28,0.24,19.95,0.074,32.0,174.0,0.99922,3.19,0.44,9.3,6
Langhe Chardonnay 2017,0.22,0.56,8.2,0.044,37.0,181.0,0.998,2.87,0.68,9.5,6
Falanghina Serrocielo 2018,0.25,0.3,5.5,0.038,15.0,129.0,0.9948,3.14,0.49,9.6,6
Halgans Riesling Trocken 2016,0.27,0.32,6.3,0.048,47.0,159.0,0.99282,3.21,0.6,11.0,6
Riesling Alsace Cuvée Frédéric Emile 2011,0.27,0.49,3.8,0.037,46.0,139.0,0.99116,3.04,0.38,11.6,6
Grillo 2018,0.18,0.46,12.6,0.042,41.0,143.0,1.0,3.24,0.76,8.5,8
Via Colțul Pietrei Sauvignon Blanc 2017,0.16,0.33,1.0,0.076,17.0,57.0,0.9921,3.14,0.46,10.6,6
Cordillera Reserva Especial Chardonnay 2019,0.24,0.27,9.8,0.062,33.0,152.0,0.9966,3.31,0.47,9.5,6
Qvinterra Riesling 2017,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52,10.0,5
Chablis 2018,0.46,0.65,10.4,0.05,76.0,192.0,0.9976,3.16,0.42,8.7,5
Steinmühle 2017,0.29,0.21,2.6,0.025,12.0,120.0,0.9894,3.39,0.79,14.0,7
'Rosso & Bianco' Chardonnay 2016,0.39,0.31,14.35,0.043,28.0,162.0,0.9988,3.17,0.54,9.1,5
Scharzhofberger Riesling Auslese 2015,0.16,0.33,1.2,0.042,47.0,121.0,0.99198,3.04,0.68,10.5,7
Frühlingsplätzchen Riesling GG 2017,0.28,0.28,20.4,0.041,40.0,144.0,1.0002,3.14,0.38,8.7,5
Toreye Riesling Alte Reben 2018,0.48,0.28,10.4,0.049,57.0,205.0,0.99748,3.24,0.45,9.3,5
Tannenberg Sauvignon Blanc 2018,0.28,0.29,19.3,0.051,36.0,174.0,0.99911,3.14,0.5,9.0,5
Graacher Himmelreich Riesling Auslese 2016,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.34,9.9,6
Pinot Bianco (Selezione) 2018,0.16,0.3,1.4,0.064,34.0,166.0,0.99136,3.11,0.42,11.4333333333333,6
Sommeracher Katzenkopf Silvaner Trocken 2014,0.16,0.35,1.2,0.031,27.0,84.0,0.9928,3.33,0.34,9.9,5
Pur Mineral Riesling 2017,0.24,0.32,10.3,0.079,37.0,122.0,0.99662,3.02,0.45,8.8,5
Tibó Blanco 2018,0.37,0.3,1.5,0.033,35.0,95.0,0.98986,3.36,0.56,12.0,7
Eichhorn Pinot Bianco 2018,0.26,0.34,16.3,0.051,56.0,197.0,1.0004,3.49,0.42,9.8,5
Reserva Sauvignon Blanc 2017,0.27,0.32,1.1,0.034,24.0,110.0,0.9898,3.36,0.4,12.5,6
Sauvignon Blanc 2019,0.22,0.31,6.9,0.037,33.0,121.0,0.99176,3.02,0.39,11.9,8
Sauvignon Blanc Bordeaux 2010,0.34,0.28,7.5,0.034,40.0,197.0,0.99485,3.14,0.6,9.7,5
Chenin Blanc (Steen op Hout) 2018,0.15,0.33,4.7,0.059,31.0,118.0,0.9956,3.43,0.39,9.0,7
Sauvignon Blanc 2017,0.3,0.23,4.2,0.038,42.0,119.0,0.9924,3.15,0.5,11.0,5
Cellar Selection Sauvignon Blanc 2019,0.29,0.34,12.1,0.03,34.0,177.0,0.99706,3.13,0.47,10.6,5
Las Moras Chardonnay 2018,0.17,0.32,1.6,0.053,47.0,150.0,0.9948,3.29,0.76,9.6,6
Chardonnay 2017,0.27,0.18,7.7,0.048,45.0,186.0,0.9962,3.23,0.47,9.0,5
Perdaudin Roero Arneis 2018,0.785,0.0,3.4,0.036,23.0,134.0,0.98981,3.53,0.92,13.8,6
Als Wär's ein Stück Von Mir 2015,0.21,0.28,1.5,0.051,46.0,142.0,0.9928,3.23,0.42,10.1,6
Sauvignon Blanc 2019,0.18,0.3,12.8,0.062,19.0,171.0,0.99808,3.0,0.52,9.0,7
Ermitage de l'Orée 2003,0.37,0.3,6.2,0.04,49.0,139.0,0.99021,3.17,0.27,13.6,6
